Date,Close/Last,Volume,Open,High,Low
12/07/2023,65.11,4561923,65.65,65.74,64.35
12/06/2023,64.76,9506213,65.98,66.3492,64.61
12/05/2023,67.58,4833520,68.74,69.24,67.47
12/04/2023,68.47,5103958,68.66,69.77,67.87
12/01/2023,69.24,4354523,70.93,71.5925,69.04
11/30/2023,70.14,9702228,73.50,74.21,70.03
11/29/2023,72.52,4572987,72.12,72.87,70.60
11/28/2023,71.26,2508241,70.64,71.83,70.24
11/27/2023,69.96,4632985,70.30,71.09,69.54
11/24/2023,70.82,1453875,70.95,71.86,70.75
11/22/2023,71.61,5286973,69.28,71.90,68.81
11/21/2023,72.53,2543502,72.06,72.59,71.745
11/20/2023,72.30,3988261,72.18,73.07,71.94
11/17/2023,70.75,5923721,69.14,70.95,69.14
11/16/2023,68.05,6745944,69.61,69.71,67.45
11/15/2023,71.34,5002777,71.81,72.38,71.175
11/14/2023,72.69,2688454,73.23,74.04,72.36
11/13/2023,72.92,3075556,71.81,72.96,71.77
11/10/2023,71.79,3754520,71.31,72.22,71.12
11/09/2023,70.25,4327714,70.75,71.66,70.14
11/08/2023,70.19,7264453,71.27,71.67,69.65
11/07/2023,71.80,7413645,72.99,73.15,71.615
11/06/2023,74.91,2764259,75.89,76.09,74.77
11/03/2023,74.85,5054494,75.29,76.41,74.14
11/02/2023,76.18,4191602,74.91,76.53,74.79
11/01/2023,74.75,4143025,76.66,76.72,74.24
10/31/2023,75.02,4604032,76.21,77.02,74.56
10/30/2023,76.05,5929492,77.24,77.58,75.36
10/27/2023,78.36,5522566,77.62,78.98,76.58
10/26/2023,76.89,3518517,76.83,77.59,76.49
10/25/2023,78.46,6116799,77.11,78.73,75.64
10/24/2023,76.93,6629641,78.04,78.22,76.31
10/23/2023,78.89,4607118,80.22,80.27,78.35
10/20/2023,80.70,4664731,81.59,81.98,80.17
10/19/2023,81.68,5924379,79.37,81.75,78.942
10/18/2023,79.84,4647277,79.72,80.365,79.32
10/17/2023,78.80,3914447,77.98,78.88,77.40
10/16/2023,78.39,5156223,78.63,78.89,77.87
10/13/2023,78.99,6772282,77.71,79.18,77.16
10/12/2023,75.42,4244091,76.58,76.6085,74.62
10/11/2023,75.67,6048315,76.19,76.40,74.76
10/10/2023,76.71,4237623,77.19,77.19,76.19
10/09/2023,77.13,6892099,76.76,77.397,76.23
10/06/2023,74.16,3896226,74.43,74.57,73.34
10/05/2023,73.99,5599118,74.11,75.45,73.61
10/04/2023,75.59,7853801,77.97,77.97,75.22
10/03/2023,79.93,2899326,79.81,80.37,79.25
10/02/2023,79.39,3492059,81.18,81.28,79.19
09/29/2023,80.86,2399712,81.90,81.94,80.47
09/28/2023,81.57,3169004,82.32,82.61,81.22
09/27/2023,82.90,4257863,82.24,83.29,82.05
09/26/2023,80.88,2522705,79.97,81.05,79.89
09/25/2023,80.39,1918337,80.59,80.65,79.67
09/22/2023,80.63,2704957,81.55,81.60,79.99
09/21/2023,80.41,3100875,81.25,81.51,80.395
09/20/2023,80.14,4122836,80.56,81.59,80.13
09/19/2023,81.50,6660528,82.18,82.28,81.12
09/18/2023,81.45,5940835,81.79,81.94,80.80
09/15/2023,81.29,2874487,80.29,81.34,80.09
09/14/2023,81.12,3098890,80.66,81.14,80.53
09/13/2023,79.68,2783802,79.86,80.04,79.2288
09/12/2023,79.70,3308786,79.36,80.01,79.31
09/11/2023,78.37,2083754,78.93,79.12,78.14
09/08/2023,78.30,2039463,78.14,78.73,77.88
09/07/2023,77.95,2671387,78.15,78.50,77.44
09/06/2023,78.52,3159808,77.60,78.77,77.42
09/05/2023,77.76,4782183,78.07,78.78,77.39
09/01/2023,76.92,4205780,76.00,76.935,75.94
08/31/2023,75.06,2900837,74.48,75.1799,73.95
08/30/2023,73.66,2228099,73.73,74.01,73.06
08/29/2023,73.32,2890396,72.66,73.35,71.79
08/28/2023,72.41,1618724,72.40,73.13,72.11
08/25/2023,72.45,3105963,72.62,72.66,70.82
08/24/2023,71.41,2368735,70.88,71.73,70.45
08/23/2023,71.36,3836870,70.80,72.00,70.43
08/22/2023,72.28,1656073,72.76,72.87,72.06
08/21/2023,72.58,2085611,73.42,73.51,72.42
08/18/2023,72.79,2734937,72.18,73.06,71.91
08/17/2023,71.98,2647626,72.57,72.82,71.92
08/16/2023,71.37,3789622,72.90,73.145,71.29
08/15/2023,72.62,3907485,73.25,73.26,72.18
08/14/2023,73.81,3545425,73.69,74.22,73.35
08/11/2023,74.25,3137824,74.14,74.81,73.95
08/10/2023,74.20,3443917,74.66,75.09,73.96
08/09/2023,75.10,4777128,74.78,75.36,74.21
08/08/2023,74.06,4218657,72.47,74.27,72.04
08/07/2023,73.82,1858820,73.76,73.87,73.035
08/04/2023,73.79,2016991,73.22,74.29,72.94
08/03/2023,73.14,2923083,71.70,73.25,71.70
08/02/2023,71.48,3173369,72.67,72.74,70.88
08/01/2023,72.96,1487378,72.68,73.19,72.17
07/31/2023,73.17,2074314,72.75,73.29,72.56
07/28/2023,72.09,1751601,71.32,72.24,70.87
07/27/2023,71.43,1807191,71.16,71.99,70.72
07/26/2023,70.66,1384274,70.59,71.305,70.41
07/25/2023,71.16,2340054,70.40,71.41,70.27
07/24/2023,70.69,2420158,69.61,70.93,69.29
07/21/2023,68.99,2993283,68.52,69.31,68.17
07/20/2023,68.05,2031411,68.33,68.49,67.13
07/19/2023,67.69,1934966,68.39,68.92,67.49
07/18/2023,67.96,2550083,66.79,68.12,66.65
07/17/2023,66.58,2283611,66.85,67.40,66.53
07/14/2023,67.47,2400571,68.53,68.57,67.36
07/13/2023,69.09,3608660,67.79,69.095,67.53
07/12/2023,67.87,3046212,67.62,67.97,67.26
07/11/2023,67.03,2349459,66.03,67.05,65.89
07/10/2023,65.54,2448955,65.63,66.31,65.158
07/07/2023,65.85,2784598,64.14,66.05,64.14
07/06/2023,64.44,2371967,64.33,64.56,63.12
07/05/2023,64.63,2971118,64.66,64.85,63.90
07/03/2023,63.39,1220812,63.82,64.11,63.12
06/30/2023,63.55,3133427,63.35,63.97,63.15
06/29/2023,62.96,1992226,62.75,63.64,62.25
06/28/2023,62.52,2461468,61.47,62.94,60.8699
06/27/2023,61.30,2610114,62.33,62.63,61.10
06/26/2023,62.73,2084529,62.15,63.14,62.08
06/23/2023,62.42,2413605,61.04,62.4902,60.97
06/22/2023,62.52,3882134,63.15,63.65,62.14
06/21/2023,65.04,2725515,63.83,65.09,63.70
06/20/2023,63.92,2316538,63.75,63.96,62.61
06/16/2023,64.35,2973957,63.48,64.53,63.28
06/15/2023,63.41,3445591,62.21,63.77,62.14
06/14/2023,61.83,4818592,63.00,63.20,61.26
06/13/2023,62.14,3473463,62.09,62.65,61.99
06/12/2023,60.24,5997296,61.00,61.2259,60.02
06/09/2023,62.93,3354971,63.64,64.195,62.79
06/08/2023,63.46,8584267,64.89,64.94,61.82
06/07/2023,64.71,3520529,64.49,65.205,64.21
06/06/2023,63.79,2569494,63.08,64.43,63.01
06/05/2023,64.03,3038435,65.37,65.41,64.015
06/02/2023,64.15,6937902,64.10,64.365,63.46
06/01/2023,62.55,3631404,60.66,63.37,60.63
05/31/2023,60.63,4040657,61.48,62.09,60.6099
05/30/2023,62.30,6442616,62.85,62.97,61.70
05/26/2023,64.80,2145281,64.90,64.99,64.36
05/25/2023,64.09,4322679,64.46,64.70,63.21
05/24/2023,65.66,3775795,65.96,66.24,64.94
05/23/2023,64.87,3409715,64.64,65.40,64.50
05/22/2023,63.91,1644956,63.59,64.33,63.36
05/19/2023,63.90,2490179,64.61,64.66,63.25
05/18/2023,64.04,2496649,64.32,64.40,63.58
05/17/2023,64.60,4275997,63.87,64.99,63.06
05/16/2023,62.54,1992072,63.11,63.54,62.445
05/15/2023,62.99,4837830,62.70,63.46,62.37
05/12/2023,62.07,4070771,63.21,63.50,61.94
05/11/2023,63.25,4023257,63.26,63.615,62.62
05/10/2023,64.39,2683676,64.80,64.80,63.59
05/09/2023,64.87,5831528,63.84,65.1499,63.10
05/08/2023,64.26,3454600,64.75,64.89,64.045
05/05/2023,63.03,4700048,62.73,63.34,62.61
05/04/2023,60.70,4997434,60.50,61.66,59.78
05/03/2023,60.31,12166710,61.31,61.39,60.16
05/02/2023,63.05,6535707,65.48,65.5016,62.99
05/01/2023,66.55,2939028,66.34,66.93,65.62
04/28/2023,67.50,3043598,65.85,67.60,65.53
04/27/2023,65.81,2752664,65.83,66.21,65.16
04/26/2023,65.36,5692095,67.18,67.83,65.20
04/25/2023,67.62,2262607,68.54,68.57,67.26
04/24/2023,69.25,1924421,68.29,69.60,68.11
04/21/2023,68.21,2620317,68.58,68.72,67.91
04/20/2023,67.60,3486789,67.86,68.34,67.51
04/19/2023,69.30,3621061,69.72,69.98,68.86
04/18/2023,70.73,1468754,70.92,71.3601,70.09
04/17/2023,70.84,2985723,71.66,71.85,70.48
04/14/2023,72.09,3170425,72.06,72.45,71.34
04/13/2023,71.80,2790907,72.36,72.63,71.65
04/12/2023,72.43,4474082,71.74,72.65,71.61
04/11/2023,71.07,3346818,70.08,71.21,69.97
04/10/2023,69.76,2884626,70.23,70.79,69.62
04/06/2023,70.26,2839335,70.35,70.49,69.77
04/05/2023,70.24,3015038,70.49,70.55,69.6801
04/04/2023,70.27,3592706,71.13,71.13,69.575
04/03/2023,70.27,8377861,69.93,70.70,69.63
03/31/2023,66.44,2730700,65.92,66.50,65.26
03/30/2023,65.32,3295127,64.81,65.54,64.19
03/29/2023,64.15,2593052,65.01,65.348,64.00
03/28/2023,64.55,4149501,63.76,64.98,63.76
03/27/2023,64.15,8701162,62.24,64.27,61.86
03/24/2023,60.96,3722993,60.31,61.25,59.84
03/23/2023,60.99,2635452,62.51,63.02,60.90
03/22/2023,61.61,3512773,61.39,62.67,60.92
03/21/2023,61.23,3975147,60.54,61.32,60.11
03/20/2023,59.79,5391627,58.73,59.865,58.05
03/17/2023,58.66,9071701,59.94,60.02,57.83
03/16/2023,60.05,8449874,58.72,61.09,58.04
03/15/2023,60.02,13746540,60.26,60.97,57.94
03/14/2023,62.93,6367406,64.02,65.32,62.335
03/13/2023,65.25,5203858,64.51,66.82,64.07
03/10/2023,67.14,2989456,66.37,67.56,66.20
03/09/2023,66.24,2436627,67.90,68.39,66.17
03/08/2023,67.10,3018060,67.13,67.85,66.78
03/07/2023,67.85,5071165,70.14,70.215,67.56
03/06/2023,70.49,3977842,69.29,70.521,69.05
03/03/2023,69.86,5179280,67.19,69.91,67.14
03/02/2023,68.30,1628091,68.44,68.762,67.89
03/01/2023,68.07,2577618,67.14,68.12,66.73
02/28/2023,67.21,1886369,67.80,67.93,67.16
02/27/2023,66.25,3024804,66.63,66.7599,65.73
02/24/2023,67.10,2593435,65.56,67.15,65.11
02/23/2023,66.38,2136849,66.22,66.65,65.70
02/22/2023,64.92,3495572,66.40,66.67,64.89
02/21/2023,66.69,2432686,67.50,67.82,66.54
02/17/2023,67.02,3851722,66.36,67.26,66.01
02/16/2023,68.45,2369692,68.82,69.385,68.415
02/15/2023,69.02,1908779,68.79,69.39,67.80
02/14/2023,69.40,1601529,68.22,69.63,68.01
02/13/2023,69.50,3458154,69.38,70.43,69.07
02/10/2023,69.87,2817209,69.02,69.90,68.95
02/09/2023,67.92,2430734,67.88,68.50,67.12
02/08/2023,68.68,2052011,68.40,68.79,67.61
02/07/2023,67.76,3598069,65.83,67.845,65.82
02/06/2023,65.50,2694177,65.07,65.53,63.67
02/03/2023,64.40,4875327,66.73,68.39,64.35
02/02/2023,66.57,2561457,66.99,67.49,65.90
02/01/2023,67.36,3538495,69.21,69.41,66.7594
01/31/2023,69.32,1391649,67.86,69.37,67.67
01/30/2023,68.10,2345830,68.68,69.87,68.03
01/27/2023,69.50,3185149,71.74,71.7823,69.20
01/26/2023,70.93,1481393,71.65,71.7601,70.27
01/25/2023,70.51,1613158,70.41,71.09,69.64
01/24/2023,70.22,1653244,71.59,71.66,69.88
01/23/2023,71.50,1583917,71.82,72.25,71.29
01/20/2023,71.55,2438387,70.86,71.56,69.969
01/19/2023,70.59,2814912,70.19,71.14,69.69
01/18/2023,69.51,3172677,71.59,72.0301,69.35
01/17/2023,70.86,3796496,70.865,71.14,69.4642
01/13/2023,70.05,2503342,69.30,70.09,68.9201
01/12/2023,68.61,2616302,69.12,69.32,68.42
01/11/2023,68.05,3545139,67.24,68.22,66.46
01/10/2023,65.90,2000373,66.27,66.68,65.22
01/09/2023,65.88,2941090,66.49,67.33,65.45
01/06/2023,64.83,2993979,65.82,66.18,64.46
01/05/2023,64.78,3555472,64.32,65.75,63.93
01/04/2023,64.30,4215280,65.58,65.5847,63.9822
01/03/2023,67.64,3339735,68.64,69.65,67.12
12/30/2022,70.11,3648523,68.36,70.27,68.35
12/29/2022,68.53,1972345,67.55,68.59,67.37
12/28/2022,68.58,2782833,69.18,69.22,67.53
12/27/2022,69.53,3147916,69.59,70.54,69.06
12/23/2022,69.32,2928856,68.94,69.56,68.87
12/22/2022,67.70,2385372,68.48,68.5858,66.8527
12/21/2022,68.06,3292439,67.61,68.1615,67.41
12/20/2022,66.22,2501338,65.83,66.80,64.82
12/19/2022,66.07,3920684,65.77,66.50,64.83
12/16/2022,64.90,4847079,64.35,65.82,64.14
12/15/2022,66.15,4671452,66.90,67.05,65.68
12/14/2022,67.36,7394103,66.79,67.67,66.08
12/13/2022,65.86,4496139,65.16,66.47,65.14
12/12/2022,64.41,4520073,63.21,64.63,63.05
12/09/2022,62.85,7184860,63.07,63.75,61.81
12/08/2022,62.71,8334647,64.61,64.68,62.46
12/07/2022,63.65,5443883,65.47,65.89,63.20
12/06/2022,65.23,6746240,66.97,67.36,64.52
12/05/2022,67.72,5259083,71.56,71.78,67.25
12/02/2022,69.84,3459204,70.60,71.1383,69.35
12/01/2022,70.45,4571175,71.64,72.14,70.30
11/30/2022,70.23,3723971,70.30,70.44,69.55
11/29/2022,68.34,6290798,68.51,69.12,67.19
11/28/2022,66.88,7380132,65.16,67.69,65.00
11/25/2022,66.96,1703592,68.19,68.49,66.78
11/23/2022,67.41,4692969,67.84,68.22,66.86
11/22/2022,69.98,3714977,69.92,70.76,69.58
11/21/2022,69.03,12862850,66.67,69.37,65.37
11/18/2022,69.03,8376036,67.73,69.12,67.46
11/17/2022,70.14,5007000,71.15,71.44,69.52
11/16/2022,72.04,3359552,72.11,72.4664,71.38
11/15/2022,73.25,3318087,72.12,74.78,71.60
11/14/2022,71.91,2680683,73.54,74.62,71.88
11/11/2022,74.38,3191937,74.53,75.15,73.68
11/10/2022,72.24,2020506,71.66,72.985,71.19
11/09/2022,71.67,2585547,73.17,73.20,71.58
11/08/2022,74.47,2539688,76.27,76.49,74.08
11/07/2022,76.56,2231417,76.84,77.72,76.22
11/04/2022,76.82,3679923,76.541,76.94,75.50
11/03/2022,73.29,1481976,73.05,74.01,72.86
11/02/2022,74.08,2796283,73.12,74.88,72.79
11/01/2022,73.12,4586934,73.80,73.89,72.66
10/31/2022,71.53,3088145,71.39,72.64,70.72
10/28/2022,72.82,1511191,72.71,73.30,72.03
10/27/2022,73.62,1308811,73.69,74.09,73.11
10/26/2022,72.97,3435412,71.36,73.14,71.35
10/25/2022,70.61,1517354,70.59,71.45,70.23
10/24/2022,70.38,1722440,70.24,71.18,69.80
10/21/2022,70.57,1564282,70.15,70.99,69.46
10/20/2022,70.18,2545844,71.09,71.88,69.71
10/19/2022,70.04,3094872,68.87,70.5699,68.55
10/18/2022,68.70,3291206,69.36,69.7759,67.85
10/17/2022,70.13,3255418,71.17,71.48,69.78
10/14/2022,70.17,2519778,71.40,71.72,69.75
10/13/2022,72.52,2303976,70.39,72.87,70.37
10/12/2022,70.93,2338923,71.42,71.60,70.20
